file_name,openssl_101f,libressl_3,sim_value,ABCDE,ÊÇ·ñÒ»ÖÂ
v3_sxnet.c_x509_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.999958005,C,1
rsa_depr.c_rsa_depr.c,RSA_generate_key,RSA_generate_key,0.999872383,B,1
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_sign,TS_RESP_sign,0.999864762,C,1
tasn_prn.c_tasn_prn.c,asn1_template_print_ctx,asn1_template_print_ctx,0.999665072,C,1
v3_crld.c_x509_crld.c,v2i_crld,v2i_crld,0.999621391,C,1
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.999557853,C,1
v3_prn.c_x509_prn.c,X509V3_extensions_print,X509V3_extensions_print,0.999540595,C,1
pk7_smime.c_pk7_smime.c,pkcs7_copy_existing_digest,pkcs7_copy_existing_digest,0.999517884,C,1
p12_kiss.c_p12_kiss.c,parse_pk12,parse_pk12,0.999481828,A,1
ts_rsp_sign.c_ts_rsp_sign.c,ESS_CERT_ID_new_init,ESS_CERT_ID_new_init,0.999431279,C,1
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.999335538,A,1
v3_prn.c_x509_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.999160713,B,1
ts.c_ts.c,create_query,create_query,0.999016808,C,1
ts_rsp_verify.c_ts_rsp_verify.c,TS_RESP_verify_signature,TS_RESP_verify_signature,0.998887034,C,1
v3_conf.c_x509_conf.c,v3_generic_extension,v3_generic_extension,0.998773457,D,1
ssl_cert.c_ssl_cert.c,SSL_add_file_cert_subjects_to_stack,SSL_add_file_cert_subjects_to_stack,0.998643315,D,1
v3_conf.c_x509_conf.c,do_ext_nconf,do_ext_nconf,0.998576364,E,1
req.c_req.c,auto_info,auto_info,0.998434377,C,1
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.998408852,E,1
v3_ncons.c_x509_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.998334673,A,1
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.998227317,A,1
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.998212365,A,1
x_x509.c_x_x509.c,x509_cb,x509_cb,0.998210374,B,1
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.99809319,A,1
p12_crpt.c_p12_crpt.c,PKCS12_PBE_keyivgen,PKCS12_PBE_keyivgen,0.997955767,D,1
v3_skey.c_x509_skey.c,s2i_skey_id,s2i_skey_id,0.99784735,B,1
x_name.c_x_name.c,x509_name_encode,x509_name_encode,0.997772744,C,1
bn_gcd.c_bn_gcd.c,BN_mod_inverse,BN_mod_inverse_internal,0.997692583,C,1
pk7_lib.c_pk7_lib.c,PKCS7_set_type,PKCS7_set_type,0.997640206,C,1
t_spki.c_t_spki.c,NETSCAPE_SPKI_print,NETSCAPE_SPKI_print,0.997636182,A,1
p12_mutl.c_p12_mutl.c,PKCS12_gen_mac,PKCS12_gen_mac,0.997528097,D,1
bss_acpt.c_bss_acpt.c,acpt_ctrl,acpt_ctrl,0.996957068,B,1
ocsp_prn.c_ocsp_prn.c,OCSP_REQUEST_print,OCSP_REQUEST_print,0.99691987,B,1
pk7_smime.c_pk7_smime.c,PKCS7_get0_signers,PKCS7_get0_signers,0.996845575,C,1
v3_purp.c_x509_purp.c,setup_dp,setup_dp,0.996656737,A,1
a_verify.c_a_verify.c,ASN1_item_verify,ASN1_item_verify,0.996624391,D,1
asn_mime.c_asn_mime.c,SMIME_read_ASN1,SMIME_read_ASN1,0.996538942,C,1
eng_table.c_eng_table.c,engine_table_select,engine_table_select,0.996492305,C,1
x509.c_x509.c,x509_certify,x509_certify,0.99648218,D,1
pk7_doit.c_pk7_doit.c,PKCS7_dataVerify,PKCS7_dataVerify,0.996434264,D,1
cms_sd.c_cms_sd.c,cms_sd_set_version,cms_sd_set_version,0.996431717,B,1
x509_vfy.c_x509_vfy.c,get_delta_sk,get_delta_sk,0.996384541,A,1
p12_crt.c_p12_crt.c,PKCS12_create,PKCS12_create,0.996365975,C,1
ca.c_ca.c,unpack_revinfo,unpack_revinfo,0.996358608,B,1
apps.c_apps.c,load_serial,load_serial,0.996210421,D,1
ts_rsp_verify.c_ts_rsp_verify.c,int_TS_RESP_verify_token,int_TS_RESP_verify_token,0.99618684,C,1
x509_att.c_x509_att.c,X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.996178863,B,1
cms_lib.c_cms_lib.c,CMS_dataFinal,CMS_dataFinal,0.995965649,C,1
pk7_lib.c_pk7_lib.c,PKCS7_add_signer,PKCS7_add_signer,0.995935765,C,1
p5_crpt.c_p5_crpt.c,PKCS5_PBE_keyivgen,PKCS5_PBE_keyivgen,0.995916216,D,1
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.995859456,C,1
bn_nist.c_bn_nist.c,BN_nist_mod_521,BN_nist_mod_521,0.995824473,A,1
pkcs12.c_pkcs12.c,dump_certs_keys_p12,dump_certs_keys_p12,0.995775613,A,1
v3_purp.c_x509_purp.c,X509_check_akid,X509_check_akid,0.995491148,A,1
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.995489351,D,1
x_long.c_x_long.c,long_i2c,long_i2c,0.995389906,A,1
p5_crpt2.c_p5_crpt2.c,PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.995279215,A,1
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_get1_certs,0.995257497,B,1
ec_lib.c_ec_lib.c,EC_GROUP_copy,EC_GROUP_copy,0.995156292,B,1
ts_rsp_print.c_ts_rsp_print.c,TS_TST_INFO_print_bio,TS_TST_INFO_print_bio,0.995095798,A,1
eng_table.c_eng_table.c,engine_table_register,engine_table_register,0.994993292,C,1
e_aes_cbc_hmac_sha1.c_e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_ctrl,aesni_cbc_hmac_sha1_ctrl,0.994934438,B,1
x509_req.c_x509_req.c,X509_REQ_add_extensions_nid,X509_REQ_add_extensions_nid,0.994911104,C,1
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_get1_crls,0.994853477,B,1
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.994817656,A,1
pkcs12.c_pkcs12.c,print_attribs,print_attribs,0.99473745,C,1
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.994694715,C,1
x509.c_x509.c,x509_load_serial,x509_load_serial,0.99458699,C,1
bn_mont.c_bn_mont.c,BN_MONT_CTX_set,BN_MONT_CTX_set,0.994525559,C,1
ca.c_ca.c,certify,certify,0.994524246,A,1
bn_lib.c_bn_lib.c,BN_bin2bn,BN_bin2bn,0.994500886,D,1
pk7_lib.c_pk7_lib.c,PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,0.994419949,C,1
pem_info.c_pem_info.c,PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.994288659,D,1
t_x509a.c_t_x509a.c,X509_CERT_AUX_print,X509_CERT_AUX_print,0.994115832,A,1
asn_mime.c_asn_mime.c,SMIME_write_ASN1,SMIME_write_ASN1,0.994019459,C,1
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.993857573,D,1
ocsp_lib.c_ocsp_lib.c,OCSP_cert_id_new,OCSP_cert_id_new,0.993569676,C,1
x_name.c_x_name.c,x509_name_ex_d2i,x509_name_ex_d2i,0.993501612,C,1
ocsp_prn.c_ocsp_prn.c,OCSP_RESPONSE_print,OCSP_RESPONSE_print,0.993278517,A,1
ocsp.c_ocsp.c,print_ocsp_summary,print_ocsp_summary,0.993269577,A,1
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.992934257,B,1
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_is_on_curve,ec_GF2m_simple_is_on_curve,0.992800664,B,1
n_pkey.c_n_pkey.c,d2i_RSA_NET_2,d2i_RSA_NET_2,0.992763605,C,1
v3_alt.c_x509_alt.c,copy_email,copy_email,0.992739802,C,1
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.992658651,B,1
cms_pwri.c_cms_pwri.c,kek_unwrap_key,kek_unwrap_key,0.992605445,D,1
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_create_tst_info,TS_RESP_create_tst_info,0.992527774,A,1
p12_kiss.c_p12_kiss.c,PKCS12_parse,PKCS12_parse,0.992420128,D,1
x509_req.c_x509_req.c,X509_REQ_get_extensions,X509_REQ_get_extensions,0.992368327,C,1
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_add,0.992356819,B,1
v3_crld.c_x509_crld.c,set_dist_point_name,set_dist_point_name,0.992281125,D,1
a_sign.c_a_sign.c,ASN1_item_sign_ctx,ASN1_item_sign_ctx,0.992153465,D,1
p12_kiss.c_p12_kiss.c,parse_bag,parse_bag,0.99206856,C,1
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.991985192,D,1
ssl_cert.c_ssl_cert.c,ssl_verify_cert_chain,ssl_verify_cert_chain,0.991553506,E,1
ca.c_ca.c,certify_spkac,certify_spkac,0.991237385,E,1
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBE_keyivgen,PKCS5_v2_PBE_keyivgen,0.991113016,C,1
ec_asn1.c_ec_asn1.c,ec_asn1_group2parameters,ec_asn1_group2parameters,0.991073982,D,1
req.c_req.c,add_DN_object,add_DN_object,0.991042584,D,1
v3_cpols.c_x509_cpols.c,r2i_certpol,r2i_certpol,0.991027837,C,1
p5_pbev2.c_p5_pbev2.c,PKCS5_pbkdf2_set,PKCS5_pbkdf2_set,0.990918457,C,1
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.990908866,A,1
n_pkey.c_n_pkey.c,i2d_RSA_NET,i2d_RSA_NET,0.990797087,D,1
x509.c_x509.c,sign,sign,0.990626267,B,1
ocsp.c_ocsp.c,add_ocsp_serial,add_ocsp_serial,0.990295012,A,1
ec2_mult.c_ec2_mult.c,ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.990256535,B,1
dsa_ameth.c_dsa_ameth.c,dsa_pub_decode,dsa_pub_decode,0.990060088,D,1
ocsp_ht.c_ocsp_ht.c,OCSP_sendreq_nbio,OCSP_sendreq_nbio,0.990002343,C,1
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBKDF2_keyivgen,PKCS5_v2_PBKDF2_keyivgen,0.989990687,D,1
x_crl.c_x_crl.c,crl_set_issuers,crl_set_issuers,0.989909175,A,1
rsa_oaep.c_rsa_oaep.c,PKCS1_MGF1,PKCS1_MGF1,0.989818921,A,1
ocsp_srv.c_ocsp_srv.c,OCSP_basic_sign,OCSP_basic_sign,0.98977381,C,1
ec_asn1.c_ec_asn1.c,ec_asn1_group2curve,ec_asn1_group2curve,0.989760603,D,1
dsa_ossl.c_dsa_ossl.c,dsa_do_verify,dsa_do_verify,0.989698508,D,1
n_pkey.c_n_pkey.c,d2i_RSA_NET,d2i_RSA_NET,0.989568246,C,1
rsa_eay.c_rsa_eay.c,RSA_eay_private_encrypt,RSA_eay_private_encrypt,0.989138949,B,1
dh_ameth.c_dh_ameth.c,do_dh_print,do_dh_print,0.989005331,D,1
dgst.c_dgst.c,do_fp,do_fp,0.98897044,A,1
ocsp_srv.c_ocsp_srv.c,OCSP_basic_add1_status,OCSP_basic_add1_status,0.988904739,C,1
gcm128.c_gcm128.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.98889188,E,1
p5_pbev2.c_p5_pbev2.c,PKCS5_pbe2_set_iv,PKCS5_pbe2_set_iv,0.988744734,D,1
ocsp_vfy.c_ocsp_vfy.c,ocsp_match_issuerid,ocsp_match_issuerid,0.988572563,C,1
x509_vfy.c_x509_vfy.c,crl_akid_check,crl_akid_check,0.988139409,A,1
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9880251,E,1
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.987720049,E,1
bf_buff.c_bf_buff.c,buffer_ctrl,buffer_ctrl,0.987287274,D,1
rsa_eay.c_rsa_eay.c,RSA_eay_private_decrypt,RSA_eay_private_decrypt,0.987143256,D,1
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.986817841,D,1
p12_add.c_p12_add.c,PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.986623513,D,1
pk7_doit.c_pk7_doit.c,PKCS7_dataFinal,PKCS7_dataFinal,0.986576079,B,1
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_set_Jprojective_coordinates_GFp,ec_GFp_simple_set_Jprojective_coordinates_GFp,0.986497198,B,1
e_des.c_e_des.c,des_cfb1_cipher,des_cfb1_cipher,0.98647245,A,1
ec_asn1.c_ec_asn1.c,i2d_ECPrivateKey,i2d_ECPrivateKey,0.986439143,D,1
ts.c_ts.c,create_verify_ctx,create_verify_ctx,0.98623017,A,1
bn_blind.c_bn_blind.c,BN_BLINDING_create_param,BN_BLINDING_create_param,0.985771126,B,1
p_verify.c_p_verify.c,EVP_VerifyFinal,EVP_VerifyFinal,0.985469648,C,1
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_cmp,0.985366609,B,1
b_dump.c_b_dump.c,BIO_dump_indent_cb,BIO_dump_indent_cb,0.985167015,D,1
v3_ncons.c_x509_ncons.c,v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.984925051,B,1
v3_akey.c_x509_akey.c,v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.984921967,C,1
bss_file.c_bss_file.c,file_ctrl,file_ctrl,0.984858466,B,1
bf_ofb64.c_bf_ofb64.c,BF_ofb64_encrypt,BF_ofb64_encrypt,0.984842328,A,1
ca.c_ca.c,do_updatedb,do_updatedb,0.984501974,A,1
c_ofb64.c_c_ofb64.c,CAST_ofb64_encrypt,CAST_ofb64_encrypt,0.984487192,A,1
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_192,0.984030348,C,1
v3_alt.c_x509_alt.c,v2i_subject_alt,v2i_subject_alt,0.983961408,C,1
asn1pars.c_asn1pars.c,do_generate,do_generate,0.983955212,A,1
ocsp_vfy.c_ocsp_vfy.c,OCSP_request_verify,OCSP_request_verify,0.98380345,D,1
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.983760691,B,1
d1_both.c_d1_both.c,dtls1_retrieve_buffered_fragment,dtls1_retrieve_buffered_fragment,0.983585729,C,1
rsa_eay.c_rsa_eay.c,RSA_eay_public_decrypt,RSA_eay_public_decrypt,0.98357843,D,1
bss_bio.c_bss_bio.c,bio_ctrl,bio_ctrl,0.983048035,D,1
ocsp.c_ocsp.c,make_ocsp_response,make_ocsp_response,0.982872981,B,1
req.c_req.c,make_REQ,make_REQ,0.982817163,A,1
bio_ssl.c_bio_ssl.c,ssl_ctrl,ssl_ctrl,0.982343461,A,1
pk7_doit.c_pk7_doit.c,PKCS7_dataInit,PKCS7_dataInit,0.982237393,D,1
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.982124733,D,1
eng_cnf.c_eng_cnf.c,int_engine_configure,int_engine_configure,0.982004552,D,1
ec_asn1.c_ec_asn1.c,ec_asn1_group2fieldid,ec_asn1_group2fieldid,0.981907212,C,1
bn_prime.c_bn_prime.c,BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.981751698,D,1
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_encrypt,0.981636379,C,1
x509_lu.c_x509_lu.c,x509_object_idx_cnt,x509_object_idx_cnt,0.981411013,A,1
ca.c_ca.c,get_certificate_status,get_certificate_status,0.98135725,D,1
conf_mod.c_conf_mod.c,module_init,module_init,0.980906004,B,1
v3_info.c_x509_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.98064083,D,1
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.980640494,A,1
v3_cpols.c_x509_cpols.c,notice_section,notice_section,0.980564925,D,1
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verifyrecover,pkey_rsa_verifyrecover,0.980457275,C,1
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_decrypt,0.980041252,C,1
bio_enc.c_bio_enc.c,enc_ctrl,enc_ctrl,0.979892165,A,1
cms_smime.c_cms_smime.c,CMS_sign_receipt,CMS_sign_receipt,0.9797955,D,1
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.979754819,A,1
apps.c_apps.c,args_verify,args_verify,0.979646082,C,1
pcy_tree.c_pcy_tree.c,tree_link_unmatched,tree_link_unmatched,0.979642982,A,1
ts_rsp_verify.c_ts_rsp_verify.c,TS_compute_imprint,TS_compute_imprint,0.979535186,D,1
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_encrypt,0.97944863,D,1
by_dir.c_by_dir.c,add_cert_dir,add_cert_dir,0.979281236,D,1
dh_ameth.c_dh_ameth.c,dh_pub_decode,dh_pub_decode,0.979270262,D,1
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_add,ec_GF2m_simple_add,0.979229153,B,1
ex_data.c_ex_data.c,int_free_ex_data,int_free_ex_data,0.979192173,B,1
by_file.c_by_file.c,X509_load_cert_crl_file,X509_load_cert_crl_file,0.979181576,C,1
rsa_gen.c_rsa_gen.c,rsa_builtin_keygen,rsa_builtin_keygen,0.979176356,B,1
bn_mont.c_bn_mont.c,BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.97911816,C,1
ocsp_cl.c_ocsp_cl.c,OCSP_request_sign,OCSP_request_sign,0.97893017,C,1
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.978754208,B,1
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_mul_arr,BN_GF2m_mod_mul_arr,0.978544596,A,1
bio_b64.c_bio_b64.c,b64_read,b64_read,0.978472055,B,1
ts.c_ts.c,verify_command,verify_command,0.978470765,A,1
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.978292203,E,1
cms_smime.c_cms_smime.c,CMS_decrypt_set1_pkey,CMS_decrypt_set1_pkey,0.978134518,E,1
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.97784966,A,1
dh_ameth.c_dh_ameth.c,dh_priv_decode,dh_priv_decode,0.977416983,C,1
apps.c_apps.c,load_cert,load_cert,0.976861925,C,1
rsa_eay.c_rsa_eay.c,RSA_eay_public_encrypt,RSA_eay_public_encrypt,0.976690877,C,1
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.976613165,D,1
ecp_oct.c_ecp_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.976578966,D,1
v3_alt.c_x509_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.976199235,C,1
evp_enc.c_evp_enc.c,EVP_CipherInit_ex,EVP_CipherInit_ex,0.976141484,D,1
ocsp_ext.c_ocsp_ext.c,OCSP_url_svcloc_new,OCSP_url_svcloc_new,0.976067638,D,1
ec2_mult.c_ec2_mult.c,ec_GF2m_montgomery_point_multiply,ec_GF2m_montgomery_point_multiply,0.976021335,D,1
bio_md.c_bio_md.c,md_ctrl,md_ctrl,0.975504404,A,1
apps.c_apps.c,load_pkcs12,load_pkcs12,0.975372008,B,1
pem_info.c_pem_info.c,PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.975294795,D,1
ocsp_vfy.c_ocsp_vfy.c,OCSP_basic_verify,OCSP_basic_verify,0.974853376,E,1
cms_ess.c_cms_ess.c,cms_Receipt_verify,cms_Receipt_verify,0.974704135,D,1
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.974601392,D,1
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.974594766,A,1
