file_name,openssl_101f,libressl_3,sim_value,vulseeker,safe,kaist,A_var_code_cf,B_var_code_CF,C_var_CODE_cf,D_var_CODE_CF,E_VAR
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_group_set_curve,ec_GFp_simple_group_set_curve,0.873156399,-0.204750791,0.87948537,0.946700265,,1,,,
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_is_on_curve,ec_GF2m_simple_is_on_curve,0.985601329,0.080214463,0.866781,0.939538006,,1,,,
ec2_mult.c_ec2_mult.c,ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.980513071,0.928670108,0.8905808,0.929287244,,1,,,
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.949202785,0.820192873,0.8139979,0.927891515,,,,1,
bn_mont.c_bn_mont.c,BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.958236321,0.301668704,0.7116253,0.926090011,,,1,,
v3_ncons.c_x509_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.996669345,0.436613262,0.9319518,0.842891883,1,,,,
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.987715146,0.795589983,0.85258156,0.924649502,,,,1,
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.996454635,0.357264549,0.7138876,0.577174868,1,,,,
ocsp_srv.c_ocsp_srv.c,OCSP_basic_add1_status,OCSP_basic_add1_status,0.977809479,0.149472043,0.8312607,0.918907253,,,1,,
pk7_lib.c_pk7_lib.c,PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,0.988839898,0.285030574,0.8143642,0.917307445,,,1,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_point_get_affine_coordinates,0.904156119,0.97643429,0.8593803,0.91366877,,,,1,
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.887184226,0.586588144,0.5466516,0.913292888,,,1,,
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.973635682,0.885497212,0.8218428,0.910119805,,,,1,
gcm128.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.948144686,0.738246262,0.9003864,0.909406317,,,,,1
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.996424729,0.933020592,0.83675134,0.791969422,1,,,,
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.905482679,0.917135298,0.8405815,0.906290136,,,,1,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.985317301,0.906978786,0.8953687,0.904845909,,1,,,
pk7_doit.c_pk7_doit.c,PKCS7_signatureVerify,PKCS7_signatureVerify,0.920433875,0.974304676,0.88675773,0.904338911,,,1,,
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.996186379,-0.150773868,0.873244,0.872448336,1,,,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_set_Jprojective_coordinates_GFp,ec_GFp_simple_set_Jprojective_coordinates_GFp,0.972994396,0.882672966,0.8903156,0.903450442,,1,,,
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.999115705,0.705906272,0.5583851,0.902019999,,,1,,
req.c_req.c,set_keygen_ctx,set_keygen_ctx,0.703129476,0.974412799,0.90103436,0.900661104,,,,,1
tasn_utl.c_tasn_utl.c,asn1_do_adb,asn1_do_adb,0.932799672,0.832363784,0.8724091,0.900117084,,,1,,
ocsp_lib.c_ocsp_lib.c,OCSP_cert_id_new,OCSP_cert_id_new,0.987139352,0.021392137,0.79029334,0.897736491,,,1,,
pk7_doit.c_pk7_doit.c,PKCS7_SIGNER_INFO_sign,PKCS7_SIGNER_INFO_sign,0.883485896,0.754357815,0.9228247,0.896276035,,,,1,
gcm128.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.942889908,0.807789743,0.9237475,0.896265121,,,,,1
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verify,pkey_rsa_verify,0.929450439,0,0.8766088,0.895927744,,,,1,
dsa_ameth.c_dsa_ameth.c,dsa_pub_decode,dsa_pub_decode,0.980120176,0.825597763,0.92367613,0.895600989,,,,1,
dh_ameth.c_dh_ameth.c,dh_pub_decode,dh_pub_decode,0.958540524,0,0.87882566,0.895557346,,,,1,
by_dir.c_by_dir.c,add_cert_dir,add_cert_dir,0.958562472,0.928410113,0.8355115,0.893888772,,,,1,
tasn_prn.c_tasn_prn.c,asn1_template_print_ctx,asn1_template_print_ctx,0.999330143,0.267501712,0.90656686,0.893447369,,,1,,
cms_pwri.c_cms_pwri.c,CMS_add0_recipient_password,CMS_add0_recipient_password,0.834195662,0.952675462,0.8484102,0.893286857,,,,1,
bn_exp2.c_bn_exp2.c,BN_mod_exp2_mont,BN_mod_exp2_mont,0.90477006,0,0.8821482,0.893154582,,1,,,
bn_mul.c_bn_mul.c,BN_mul,BN_mul,0.893694922,0.947844565,0.8839215,0.893148851,,,1,,
v3_cpols.c_x509_cpols.c,r2i_certpol,r2i_certpol,0.982055674,0.753729582,0.88373846,0.890050145,,,1,,
cms_sd.c_cms_sd.c,CMS_SignerInfo_sign,CMS_SignerInfo_sign,0.794391623,0.17797409,0.87793297,0.887647579,,,,1,
ocsp_vfy.c_ocsp_vfy.c,ocsp_match_issuerid,ocsp_match_issuerid,0.977145126,0.743354023,0.7429628,0.886850965,,,1,,
a_verify.c_a_verify.c,ASN1_item_verify,ASN1_item_verify,0.993248781,0.320747495,0.9109196,0.88660996,,,,1,
dsa_ossl.c_dsa_ossl.c,dsa_do_verify,dsa_do_verify,0.979397017,0,0.8487947,0.886497932,,,,1,
v3_alt.c_x509_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.95239847,0.829163015,0.8736292,0.885569091,,,1,,
t_spki.c_t_spki.c,NETSCAPE_SPKI_print,NETSCAPE_SPKI_print,0.995272364,0.877550602,0.83522296,0.908123121,1,,,,
v3_pmaps.c_x509_pmaps.c,v2i_POLICY_MAPPINGS,v2i_POLICY_MAPPINGS,0.841034522,0,0.8215061,0.883710368,,1,,,
conf_def.c_conf_def.c,def_load_bio,def_load_bio,0.945966049,0.990519404,0.84599966,0.883455597,,,,1,
bn_sqrt.c_bn_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.827400321,0.998311937,0.87779695,0.883006706,,,,1,
ocsp_ext.c_ocsp_ext.c,OCSP_url_svcloc_new,OCSP_url_svcloc_new,0.952135275,0.332983226,0.8462922,0.879640329,,,,1,
s_client.c_s_client.c,print_stuff,print_stuff,0.687969579,0.980571568,0.6486321,0.879192724,,1,,,
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBKDF2_keyivgen,PKCS5_v2_PBKDF2_keyivgen,0.979981373,0.752853811,0.859175,0.877719895,,,,1,
ec_ameth.c_ec_ameth.c,eckey_priv_decode,eckey_priv_decode,0.93039921,0.50524056,0.86479735,0.875845336,,,1,,
v3_skey.c_x509_skey.c,s2i_skey_id,s2i_skey_id,0.995694699,0.513562202,0.875374,0.875823858,,1,,,
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.964249466,0.991553307,0.8387544,0.874939229,,,,1,
apps.c_apps.c,load_serial,load_serial,0.992420842,0.704408646,0.7975932,0.874355809,,,,1,
a_sign.c_a_sign.c,ASN1_item_sign_ctx,ASN1_item_sign_ctx,0.984306929,0.961864769,0.90270895,0.873870359,,,,1,
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBE_keyivgen,PKCS5_v2_PBE_keyivgen,0.982226031,0.786024392,0.7793734,0.873730475,,,1,,
cms_enc.c_cms_enc.c,cms_EncryptedContent_init_bio,cms_EncryptedContent_init_bio,0.891857521,0.98353678,0.831382,0.873426303,,,,1,
p5_crpt.c_p5_crpt.c,PKCS5_PBE_keyivgen,PKCS5_PBE_keyivgen,0.991832431,0.818757713,0.78526044,0.873359202,,,,1,
dh_ameth.c_dh_ameth.c,dh_priv_decode,dh_priv_decode,0.954833965,0.521088183,0.89614445,0.873347775,,,1,,
v3_info.c_x509_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.961281661,0,0.83516884,0.873045664,,,,1,
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.957508417,0.640570939,0.93706715,0.87259679,,1,,,
pkcs12.c_pkcs12.c,dump_certs_keys_p12,dump_certs_keys_p12,0.991551225,0.107121028,0.838534,0.737963719,1,,,,
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_get1_certs,0.990514994,0.620595098,0.87965983,0.871921242,,1,,,
v3_purp.c_x509_purp.c,X509_check_akid,X509_check_akid,0.990982296,0.483241588,0.8700557,0.837792716,1,,,,
x_long.c_x_long.c,long_i2c,long_i2c,0.990779813,0,0.67312324,0.757337327,1,,,,
pk7_lib.c_pk7_lib.c,PKCS7_add_signer,PKCS7_add_signer,0.991871531,0.650188029,0.79524004,0.868720099,,,1,,
pk7_lib.c_pk7_lib.c,PKCS7_set_type,PKCS7_set_type,0.995280411,0.049637787,0.7421796,0.868654143,,,1,,
pem_info.c_pem_info.c,PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.988577318,0,0.77033186,0.868468515,,,,1,
dh_ameth.c_dh_ameth.c,do_dh_print,do_dh_print,0.978010661,0.937115371,0.65218127,0.868314313,,,,1,
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.93839103,0.716018736,0.8737145,0.867477512,,,,1,
pk7_doit.c_pk7_doit.c,PKCS7_dataFinal,PKCS7_dataFinal,0.973152158,0.994054973,0.83396524,0.866563604,,1,,,
apps.c_apps.c,load_pkcs12,load_pkcs12,0.950744016,0.60495162,0.8396605,0.865973432,,1,,,
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.98938943,0.995990276,0.87174654,0.865593407,,,1,,
p12_crt.c_p12_crt.c,PKCS12_create,PKCS12_create,0.992731949,0.986177981,0.9399314,0.86547029,,,1,,
ecp_oct.c_ecp_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.941171857,0.962334037,0.84520143,0.865122596,,,,1,
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_oct2point,ec_GF2m_simple_oct2point,0.94163464,0.936406434,0.88044965,0.864738195,,,,1,
v3_crld.c_x509_crld.c,v2i_crld,v2i_crld,0.999242783,0.945839047,0.84327066,0.864372354,,,1,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_cmp,0.970733217,0.932882071,0.85055125,0.86430171,,1,,,
tasn_dec.c_tasn_dec.c,asn1_ex_c2i,asn1_ex_c2i,0.909896604,0.96824193,0.79417586,0.864269538,,1,,,
ui_lib.c_ui_lib.c,UI_set_result,UI_set_result,0.864195736,0.292713404,0.866042,0.864216435,,,,,1
pk7_smime.c_pk7_smime.c,PKCS7_decrypt,PKCS7_decrypt,0.939073867,0.731505573,0.5977609,0.864091179,,,,1,
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.956584406,0.954936326,0.94478434,0.863956731,,,,,1
pk7_doit.c_pk7_doit.c,PKCS7_dataDecode,PKCS7_dataDecode,0.926052136,0.988848507,0.85522735,0.863616458,,,,1,
v3_conf.c_x509_conf.c,v3_generic_extension,v3_generic_extension,0.997546914,0.798146844,0.8991998,0.863204617,,,,1,
ssl_cert.c_ssl_cert.c,ssl_verify_cert_chain,ssl_verify_cert_chain,0.983107012,0.605408311,0.9311091,0.863186248,,,,,1
v3_pci.c_x509_pci.c,r2i_pci,r2i_pci,0.946665934,0.915171146,0.8648408,0.863019953,,,,1,
openssl.c_openssl.c,main,main,0.927138851,0,0,0.861529261,,,,,
p5_pbev2.c_p5_pbev2.c,PKCS5_pbe2_set_iv,PKCS5_pbe2_set_iv,0.977489467,0.418186426,0.82746357,0.861385469,,,,1,
p5_crpt2.c_p5_crpt2.c,PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.99055843,0.965359449,0.784451,0.636390072,1,,,,
ts_rsp_print.c_ts_rsp_print.c,TS_TST_INFO_print_bio,TS_TST_INFO_print_bio,0.990191596,0.567784429,0.77887625,0.860434083,1,,,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_add,0.984713639,0.993117213,0.83266294,0.860195327,,1,,,
cms_smime.c_cms_smime.c,CMS_sign_receipt,CMS_sign_receipt,0.959591001,0.57662797,0.84322584,0.86010443,,,,1,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.985868515,0.985431671,0.89494354,0.859856853,,1,,,
cms_ess.c_cms_ess.c,cms_Receipt_verify,cms_Receipt_verify,0.94940827,0.990773857,0.8312087,0.858743611,,,,1,
v3_ncons.c_x509_ncons.c,v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.969850101,0.270577699,0.9088955,0.858554774,,1,,,
verify.c_verify.c,check,check,0.79681193,0.375189066,0.8496049,0.857189987,,,,1,
v3_alt.c_x509_alt.c,v2i_subject_alt,v2i_subject_alt,0.967922817,0.202337757,0.8314133,0.856866238,,,1,,
eng_table.c_eng_table.c,engine_table_select,engine_table_select,0.992984609,0.04414437,0.78553426,0.856820259,,,1,,
apps.c_apps.c,load_pubkey,load_pubkey,0.67577671,0.926399887,0.92267215,0.855670782,,,,1,
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.989635312,0.645465553,0.84919155,0.921348491,1,,,,
ecs_ossl.c_ecs_ossl.c,ecdsa_sign_setup,ecdsa_sign_setup,0.849138851,0,0.8346669,0.854314981,,,,,1
asn1_par.c_asn1_par.c,asn1_parse2,asn1_parse2,0.934958625,0.99583286,0.9185247,0.853410078,,,,,1
dh_key.c_dh_key.c,compute_key,compute_key,0.947004366,0.458033741,0.90567464,0.852982514,,,,1,
bss_file.c_bss_file.c,file_ctrl,file_ctrl,0.969716933,0.994265616,0.619777,0.852680202,,1,,,
apps.c_apps.c,args_verify,args_verify,0.959292164,0.970742941,0.8269974,0.852532623,,,1,,
p12_key.c_p12_key.c,PKCS12_key_gen_uni,PKCS12_key_gen_uni,0.782921213,0.993212402,0.81403327,0.852193877,,,1,,
apps.c_apps.c,load_key,load_key,0.549662524,0.909234047,0.87595576,0.852027239,,1,,,
ocsp_vfy.c_ocsp_vfy.c,OCSP_request_verify,OCSP_request_verify,0.9676069,0,0.88017726,0.851917006,,,,1,
ts_rsp_verify.c_ts_rsp_verify.c,TS_RESP_verify_signature,TS_RESP_verify_signature,0.997774068,0.929842293,0.6446538,0.851689723,,,1,,
ec_mult.c_ec_mult.c,compute_wNAF,compute_wNAF,0.75517979,0.966186404,0.79308754,0.851611078,,,1,,
v3_conf.c_x509_conf.c,do_ext_nconf,do_ext_nconf,0.997152729,0.949053705,0.88765526,0.851049643,,,,,1
dsa_ameth.c_dsa_ameth.c,dsa_sig_print,dsa_sig_print,0.945591782,0.403209031,0.8477858,0.850126348,,,,1,
v3_crld.c_x509_crld.c,set_dist_point_name,set_dist_point_name,0.98456225,0.415514916,0.91526127,0.850085979,,,,1,
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_get1_crls,0.989706954,0.852620721,0.88957304,0.850006858,,1,,,
p5_pbev2.c_p5_pbev2.c,PKCS5_pbkdf2_set,PKCS5_pbkdf2_set,0.981836914,0.095292166,0.8418333,0.848241555,,,1,,
a_bitstr.c_a_bitstr.c,c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.85533419,0.546417713,0.8378334,0.847825376,,,,1,
s_server.c_s_server.c,www_body,www_body,0.772856649,0.999194264,0.89604133,0.847168942,,,,1,
pkcs12.c_pkcs12.c,print_attribs,print_attribs,0.9894749,0.852879643,0.77310246,0.846770721,,,1,,
m_sigver.c_m_sigver.c,do_sigver_init,do_sigver_init,0.895937454,0.266545594,0.90333563,0.846565794,,1,,,
ca.c_ca.c,certify,certify,0.989048491,0.77956599,0.7154707,0.903869951,1,,,,
apps.c_apps.c,save_serial,save_serial,0.755396187,0.67123574,0.56162757,0.845818962,,,,,1
ocsp_ht.c_ocsp_ht.c,OCSP_sendreq_nbio,OCSP_sendreq_nbio,0.980004686,0.994466484,0.8641421,0.845449687,,,1,,
eck_prn.c_eck_prn.c,ECPKParameters_print,ECPKParameters_print,0.8989218,0.992680132,0.819453,0.845394641,,,,,1
ecp_oct.c_ecp_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.953157931,0.994479954,0.91135645,0.844425587,,,,1,
v3_pci.c_x509_pci.c,process_pci_value,process_pci_value,0.73746201,0.951105595,0.63172305,0.843894523,,1,,,
t_x509a.c_t_x509a.c,X509_CERT_AUX_print,X509_CERT_AUX_print,0.988231665,0.162294343,0.836645,0.842044697,1,,,,
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verifyrecover,pkey_rsa_verifyrecover,0.960914549,0.170763686,0.77393115,0.843491231,,,1,,
apps.c_apps.c,app_get_pass,app_get_pass,0.845729729,0.918090284,0.70361876,0.843478446,,,,,1
s3_pkt.c_ssl_pkt.c,ssl3_read_n,ssl3_read_n,0.148946384,0.968901336,0.80131733,0.843346582,,,,1,
d2i_pr.c_d2i_pr.c,d2i_PrivateKey,d2i_PrivateKey,0.931580759,0.844394445,0.7770678,0.843255315,,,,,1
ocsp_prn.c_ocsp_prn.c,OCSP_RESPONSE_print,OCSP_RESPONSE_print,0.986557034,0.989303827,0.7969208,0.871673833,1,,,,
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.981817732,0.266228884,0.6707381,0.846222892,1,,,,
rsa_oaep.c_rsa_oaep.c,PKCS1_MGF1,PKCS1_MGF1,0.979637841,0.823707402,0.886451,0.871210151,1,,,,
x_crl.c_x_crl.c,crl_cb,crl_cb,0.976050199,0.983177781,0.7131394,0.84021908,,,,,1
dgst.c_dgst.c,do_fp,do_fp,0.977940881,0.949731648,0.8400173,0.839104133,1,,,,
s3_clnt.c_ssl_clnt.c,ssl3_connect,ssl3_connect,0.607050242,0,0.8608662,0.839094238,,,,,1
p12_add.c_p12_add.c,PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.973247026,0.823336184,0.81917876,0.838173509,,,,1,
e_des.c_e_des.c,des_cfb1_cipher,des_cfb1_cipher,0.972944899,0.584188223,0.8348045,0.761431425,1,,,,
bf_ofb64.c_bf_ofb64.c,BF_ofb64_encrypt,BF_ofb64_encrypt,0.969684657,0,0,0.80117585,1,,,,
bn_kron.c_bn_kron.c,BN_kronecker,BN_kronecker,0.920138655,0.989577055,0.8022742,0.83684002,,,1,,
s_cb.c_s_cb.c,msg_cb,msg_cb,0.824688206,0.989810109,0.8047441,0.836673209,,,,1,
c_ofb64.c_c_ofb64.c,CAST_ofb64_encrypt,CAST_ofb64_encrypt,0.968974384,0,0,0.80117585,1,,,,
bio_ssl.c_bio_ssl.c,ssl_ctrl,ssl_ctrl,0.964686922,0,0.6712018,0.781555445,1,,,,
cms_sd.c_cms_sd.c,CMS_add1_signer,CMS_add1_signer,0.876876936,0.990722477,0.8910696,0.836316472,,,,1,
pk7_doit.c_pk7_doit.c,PKCS7_dataInit,PKCS7_dataInit,0.964474785,0.99586308,0.7662891,0.835752016,,,,1,
ocsp_srv.c_ocsp_srv.c,OCSP_basic_sign,OCSP_basic_sign,0.97954762,0.337053061,0.8440062,0.834534181,,,1,,
x509_lu.c_x509_lu.c,x509_object_idx_cnt,x509_object_idx_cnt,0.962822026,0.453205556,0.8488449,0.745148046,1,,,,
pk7_doit.c_pk7_doit.c,PKCS7_dataVerify,PKCS7_dataVerify,0.992868528,0,0.809812,0.833240982,,,,1,
bn_blind.c_bn_blind.c,BN_BLINDING_create_param,BN_BLINDING_create_param,0.971542251,0.985088468,0.83397245,0.833164964,,1,,,
rsa_eay.c_rsa_eay.c,RSA_eay_public_decrypt,RSA_eay_public_decrypt,0.967156861,0.968165576,0.8894758,0.83293712,,,,1,
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.961280989,0.970592499,0.8342405,0.794125323,1,,,,
rsa_eay.c_rsa_eay.c,RSA_eay_private_decrypt,RSA_eay_private_decrypt,0.974286512,0,0.90684265,0.831870734,,,,1,
